date,oil_wti,usa_cpi,usa_ppi,china_cpi,china_ppi,japan_cpi,japan_ppi,vietnam_cpi,vietnam_ppi
2023-01-01,81.0,300.0,190.0,102.1,99.2,105.2,108.5,104.3,98.5
2023-02-01,76.0,300.8,189.5,102.2,99.0,105.8,108.2,104.5,98.2
2023-03-01,73.0,302.1,188.2,102.4,97.8,106.2,107.5,104.8,97.5
2023-04-01,81.0,303.4,187.5,102.3,97.2,106.5,107.8,105.0,97.2
2023-05-01,72.0,304.1,186.8,102.1,96.5,106.8,107.2,105.2,96.8
2023-06-01,70.0,304.2,186.0,102.0,96.0,107.0,106.8,105.4,96.5
2023-07-01,76.0,305.4,187.2,102.2,96.2,107.2,107.2,105.6,96.8
2023-08-01,82.0,307.0,188.5,102.5,96.8,107.5,107.8,105.8,97.2
2023-09-01,90.0,307.8,189.8,102.8,97.5,107.8,108.5,106.0,97.8
2023-10-01,86.0,307.7,189.0,102.6,97.2,107.6,108.2,106.2,97.5
2023-11-01,78.0,307.5,188.0,102.4,96.8,107.4,107.8,106.4,97.2
2023-12-01,72.0,306.7,187.2,102.2,96.5,107.2,107.2,106.5,96.8
2024-01-01,72.0,308.4,188.5,102.3,96.8,107.3,107.5,106.7,97.0
2024-02-01,77.0,310.2,189.8,102.5,97.2,107.6,108.0,106.9,97.5
2024-03-01,81.0,312.2,191.0,102.7,97.8,107.9,108.5,107.1,98.0
2024-04-01,85.0,313.5,191.5,102.9,98.2,108.2,109.0,107.3,98.5
2024-05-01,77.0,314.1,191.0,102.8,97.8,108.1,108.5,107.5,98.2
2024-06-01,78.0,314.1,190.5,102.7,97.5,108.0,108.2,107.7,98.0
2024-07-01,82.0,314.6,191.2,102.9,97.8,108.2,108.5,107.9,98.2
2024-08-01,81.0,314.3,191.0,102.8,97.6,108.1,108.2,108.1,98.0
2024-09-01,83.0,315.0,191.5,103.0,97.9,108.3,108.5,108.3,98.2
2024-10-01,79.0,315.5,191.2,102.9,97.7,108.2,108.2,108.5,98.0
2024-11-01,76.0,315.8,190.8,102.8,97.5,108.1,107.8,108.7,97.8
2024-12-01,74.0,316.0,190.5,102.7,97.3,108.0,107.5,108.9,97.5
