# sweep_type: iv
# t_int: 0.1
# delay: -1.0
# pulsed: False
# Voltage [V]	Current [A]
-1.000119999999999898e+00	-6.977680000000000455e-11
-9.000930000000000319e-01	-5.001989999999999934e-11
-8.001049999999999551e-01	7.866770000000000174e-11
-7.001129999999999853e-01	-6.960279999999999822e-11
-6.000820000000000043e-01	-2.013699999999999984e-10
-5.000970000000000137e-01	-4.667479999999999737e-11
-4.001040000000000152e-01	-4.919110000000000191e-11
-3.000639999999999974e-01	2.895839999999999907e-12
-2.000010000000000121e-01	-5.663069999999999941e-11
-1.000100000000000017e-01	-7.801350000000000155e-11
1.049040000000000082e-06	-5.185010000000000017e-11
9.990889999999999493e-02	-5.070210000000000062e-11
1.999009999999999954e-01	-6.737060000000000618e-11
2.999609999999999776e-01	-4.940800000000000273e-11
3.999690000000000190e-01	-6.027260000000000391e-11
4.999569999999999848e-01	-8.261800000000000359e-11
5.999790000000000401e-01	-7.995889999999999930e-11
6.999779999999999891e-01	-5.152609999999999953e-11
7.999610000000000332e-01	-5.415979999999999789e-11
8.999869999999999814e-01	-5.327329999999999919e-11
9.999810000000000088e-01	-5.405160000000000285e-11
9.999810000000000088e-01	-5.298750000000000055e-11
8.999850000000000350e-01	-5.680959999999999736e-11
7.999600000000000044e-01	-5.528180000000000058e-11
6.999779999999999891e-01	-5.463790000000000087e-11
5.999910000000000521e-01	-5.607659999999999715e-11
4.999620000000000175e-01	-5.107390000000000031e-11
3.999690000000000190e-01	-5.296429999999999799e-11
2.999680000000000124e-01	-5.467790000000000151e-11
1.999070000000000014e-01	-5.221789999999999785e-11
9.991479999999999806e-02	-5.132040000000000173e-11
6.937979999999999767e-06	-5.254629999999999876e-11
-9.999810000000000643e-02	-6.313069999999999635e-11
-1.999869999999999981e-01	-5.273710000000000315e-11
-3.000430000000000041e-01	-5.130629999999999839e-11
-4.000929999999999764e-01	-5.224980000000000138e-11
-5.000839999999999730e-01	-5.365660000000000060e-11
-6.000739999999999963e-01	-5.109860000000000282e-11
-7.001070000000000348e-01	-5.399230000000000209e-11
-8.000939999999999719e-01	-5.069580000000000215e-11
-9.000839999999999952e-01	-5.889320000000000193e-11
-1.000119999999999898e+00	-5.055679999999999880e-11
